patch_size,regime,density,seed,threshold,steps,burn_in,board_size,init_density,final_pred_density,final_true_density,acc_self_first,acc_first,acc_last,f1_first,f1_last,avg_acc,avg_f1,prec_first,rec_first,prec_last,rec_last,first_zero_step,first_one_step,checkpoint,model_variant,temperature,adaptive,adaptive_gain,thr_min,thr_max,target_density
3,early,0.2,0,0.6,50,10,128,0.1708984375,0.17376708984375,0.1004638671875,0.82940673828125,0.82940673828125,0.76177978515625,0.5535856891870308,0.13822035769485538,0.760908203125,0.1924188878510887,0.50072233458538,0.6189285714285714,0.1099402880224798,0.18608799048751487,,,checkpoints_weighted/best_model_patch3_early_p0.2_epoch9.pth,match,1.5,True,0.5,0.2,0.85,0.1708984375
3,early,0.4,0,0.6,50,10,128,0.2242431640625,0.22821044921875,0.11358642578125,0.7506103515625,0.7506103515625,0.71588134765625,0.513455584663015,0.1686015359885694,0.706416015625,0.21217047939416805,0.45639288738357325,0.5868263473053892,0.12623696175447982,0.2537634408602151,,,checkpoints_weighted/best_model_patch3_early_p0.4_epoch12.pth,match,1.0,True,0.5,0.2,0.85,0.2242431640625
3,early,0.6,0,0.6,50,10,128,0.11871337890625,0.11749267578125,0.0975341796875,0.88775634765625,0.88775634765625,0.81182861328125,0.5925105251495679,0.125886022115112,0.816240234375,0.1871051536329082,0.5206386292834891,0.6874035989717223,0.11532467532467533,0.13857677902621723,,,checkpoints_weighted/best_model_patch3_early_p0.6_epoch15.pth,match,1.0,True,0.5,0.2,0.85,0.11871337890625
3,mid,0.2,0,0.7,50,60,128,0.1004638671875,0.1026611328125,0.0838623046875,0.9105224609375,0.9105224609375,0.83734130859375,0.5861095426312818,0.13893376413570274,0.84995361328125,0.22147995708502044,0.5474683544303798,0.6306196840826246,0.1278240190249703,0.1521585279547063,,,checkpoints_weighted/best_model_patch3_mid_p0.2_epoch21.pth,match,1.0,True,0.5,0.2,0.85,0.1004638671875
3,mid,0.4,0,0.6,50,60,128,0.11358642578125,0.11663818359375,0.07867431640625,0.89434814453125,0.89434814453125,0.82843017578125,0.5952770633621698,0.14115490375802017,0.824715576171875,0.1992741146684577,0.5269039735099338,0.6840408382590005,0.12087912087912088,0.1696035242290749,,,checkpoints_weighted/best_model_patch3_mid_p0.4_epoch17.pth,match,1.0,True,0.5,0.2,0.85,0.11358642578125
3,mid,0.6,0,0.6,50,60,128,0.0975341796875,0.09765625,0.07025146484375,0.9097900390625,0.9097900390625,0.846435546875,0.5998917162966975,0.0994989262705798,0.85244384765625,0.1828276600908669,0.5286259541984732,0.6933667083854819,0.086875,0.11641541038525963,,,checkpoints_weighted/best_model_patch3_mid_p0.6_epoch18.pth,match,1.0,True,0.5,0.2,0.85,0.0975341796875
3,late,0.2,0,0.7,50,160,128,0.07720947265625,0.07769775390625,0.078369140625,0.9359130859375,0.9359130859375,0.8785400390625,0.5970836531082118,0.20336269015212166,0.888751220703125,0.269677535269645,0.5801640566741237,0.6150197628458498,0.199528672427337,0.2073469387755102,,,checkpoints_weighted/best_model_patch3_late_p0.2_epoch6.pth,match,1.0,True,0.5,0.2,0.85,0.07720947265625
3,late,0.4,0,0.7,50,160,128,0.07098388671875,0.069091796875,0.06744384765625,0.9410400390625,0.9410400390625,0.89031982421875,0.597835137385512,0.19740955783832068,0.896427001953125,0.2716731547409006,0.579499596448749,0.6173688736027515,0.19522968197879859,0.1996386630532972,,,checkpoints_weighted/best_model_patch3_late_p0.4_epoch11.pth,match,1.0,True,0.5,0.2,0.85,0.07098388671875
3,late,0.6,0,0.7,50,160,128,0.0618896484375,0.060302734375,0.05914306640625,0.94635009765625,0.94635009765625,0.902587890625,0.6024423337856173,0.1995987963891675,0.9075537109375,0.25941759771631273,0.556390977443609,0.6568047337278107,0.201417004048583,0.1978131212723658,,,checkpoints_weighted/best_model_patch3_late_p0.6_epoch9.pth,match,1.0,True,0.5,0.2,0.85,0.0618896484375
5,early,0.2,0,0.6,50,10,128,0.1708984375,0.17218017578125,0.1004638671875,0.8433837890625,0.8433837890625,0.75897216796875,0.5655265831357941,0.12302909171663336,0.758270263671875,0.18542982563282617,0.5376690276883451,0.5964285714285714,0.09819213045019497,0.16468489892984542,,,checkpoints_weighted/best_model_patch5_early_p0.2_epoch17.pth,match,1.5,True,0.5,0.2,0.85,0.1708984375
