patch_size,regime,density,seed,threshold,steps,burn_in,board_size,init_density,final_pred_density,final_true_density,acc_self_first,acc_first,acc_last,f1_first,f1_last,avg_acc,avg_f1,prec_first,rec_first,prec_last,rec_last,first_zero_step,first_one_step,checkpoint,model_variant,temperature,adaptive,adaptive_gain,thr_min,thr_max,target_density
3,early,0.2,0,0.5,50,10,128,0.1708984375,0.66790771484375,0.1004638671875,0.780517578125,0.780517578125,0.36370849609375,0.5570337521557034,0.17425742574257427,0.3667919921875,0.2303149106350017,0.42515983452425726,0.8075,0.10052088092844741,0.6539833531510107,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,False,0.0,0.1,0.9,0.1708984375
3,early,0.4,0,0.5,50,10,128,0.2242431640625,0.648681640625,0.11358642578125,0.693359375,0.693359375,0.3895263671875,0.537640346033499,0.19907110826393337,0.3717138671875,0.2561508917912902,0.4061457174638487,0.7950462710941752,0.11695521264584118,0.6682795698924732,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,False,0.0,0.1,0.9,0.2242431640625
3,early,0.6,0,0.5,50,10,128,0.11871337890625,0.69696044921875,0.0975341796875,0.85430908203125,0.85430908203125,0.33831787109375,0.5715311434212887,0.16742185700023038,0.362723388671875,0.21115314948206765,0.43905129619415334,0.8185089974293059,0.09545494351519397,0.6803995006242197,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,False,0.0,0.1,0.9,0.11871337890625
3,mid,0.2,0,0.5,50,60,128,0.1004638671875,0.685302734375,0.0838623046875,0.87945556640625,0.87945556640625,0.34466552734375,0.5779012609531952,0.15062099517443242,0.376141357421875,0.19556314598887906,0.4457632706890867,0.8213851761846902,0.08478802992518704,0.6737438075017693,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,False,0.0,0.1,0.9,0.1004638671875
3,mid,0.4,0,0.5,50,60,128,0.11358642578125,0.66510009765625,0.07867431640625,0.8642578125,0.8642578125,0.36358642578125,0.5765422696115765,0.14944122685374012,0.3779296875,0.20660208989752993,0.4464759657918018,0.8135411069317571,0.08405983298155456,0.6725403817914831,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,False,0.0,0.1,0.9,0.11358642578125
3,mid,0.6,0,0.5,50,60,128,0.0975341796875,0.6981201171875,0.07025146484375,0.88641357421875,0.88641357421875,0.327880859375,0.5858001335410639,0.12824572514249524,0.36891357421875,0.17597987889276495,0.4545768566493955,0.8235294117647058,0.07081657632453225,0.678391959798995,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,False,0.0,0.1,0.9,0.0975341796875
3,late,0.2,0,0.5,50,160,128,0.07720947265625,0.74859619140625,0.078369140625,0.9110107421875,0.9110107421875,0.2900390625,0.589527027027027,0.13773165307635288,0.39584228515625,0.18134755910682018,0.4578049846961084,0.8276679841897233,0.07574398695474929,0.7583673469387755,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,False,0.0,0.1,0.9,0.07720947265625
3,late,0.4,0,0.5,50,160,128,0.07098388671875,0.72833251953125,0.06744384765625,0.916259765625,0.916259765625,0.3046875,0.5829787234042553,0.1263803680981595,0.385203857421875,0.17426977072067676,0.4508697696285849,0.8245915735167669,0.06905220816223917,0.7443541102077688,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,False,0.0,0.1,0.9,0.07098388671875
3,late,0.6,0,0.5,50,160,128,0.0618896484375,0.7227783203125,0.05914306640625,0.92510986328125,0.92510986328125,0.298828125,0.579073756432247,0.1058530510585305,0.3924755859375,0.1544189742912418,0.4439768542872172,0.8323471400394478,0.05742273264651241,0.6759443339960238,,,checkpoints_weighted/best_model_patch3_life_patches_epoch17.pth,general,1.0,False,0.0,0.1,0.9,0.0618896484375
5,early,0.2,0,0.5,50,10,128,0.1708984375,1.0,0.1004638671875,0.81103515625,0.81103515625,0.1026611328125,0.5819605725087766,0.18620613306764086,0.198734130859375,0.24524701530963605,0.467867998263135,0.7696428571428572,0.1026611328125,1.0,,23.0,checkpoints_weighted/best_model_patch5_life_patches_epoch15.pth,general,1.0,False,0.0,0.1,0.9,0.1708984375
5,early,0.4,0,0.5,50,10,128,0.2242431640625,1.0,0.11358642578125,0.71875,0.71875,0.113525390625,0.5446640316205534,0.2039026529269897,0.186383056640625,0.2693450999711838,0.42755197021408625,0.7501360914534567,0.113525390625,1.0,,19.0,checkpoints_weighted/best_model_patch5_life_patches_epoch15.pth,general,1.0,False,0.0,0.1,0.9,0.2242431640625
5,early,0.6,0,0.5,50,10,128,0.11871337890625,1.0,0.0975341796875,0.8798828125,0.8798828125,0.0977783203125,0.6132075471698113,0.17813855220727232,0.240054931640625,0.23098143730656429,0.49634107540566336,0.8020565552699229,0.0977783203125,1.0,,34.0,checkpoints_weighted/best_model_patch5_life_patches_epoch15.pth,general,1.0,False,0.0,0.1,0.9,0.11871337890625
5,mid,0.2,0,0.5,50,60,128,0.1004638671875,1.0,0.0838623046875,0.89678955078125,0.89678955078125,0.08624267578125,0.6068356196233434,0.1587908074394561,0.263060302734375,0.21703485942233566,0.4915254237288136,0.792831105710814,0.08624267578125,1.0,,35.0,checkpoints_weighted/best_model_patch5_life_patches_epoch15.pth,general,1.0,False,0.0,0.1,0.9,0.1004638671875
