patch_size,regime,density,seed,threshold,steps,burn_in,board_size,init_density,final_pred_density,final_true_density,acc_self_first,acc_first,acc_last,f1_first,f1_last,first_zero_step,first_one_step,checkpoint,model_variant
3,early,0.6,0,0.5,50,10,128,0.11871337890625,1.0,0.0975341796875,0.86572265625,0.8563232421875,0.0975341796875,0.5450328565906456,0.17773328884439996,,28.0,checkpoints_weighted/best_model_patch3_early_p0.6_epoch15.pth,match
5,early,0.6,0,0.5,50,10,128,0.11871337890625,1.0,0.0975341796875,0.87469482421875,0.85540771484375,0.0975341796875,0.5388358964376095,0.17773328884439996,,29.0,checkpoints_weighted/best_model_patch5_early_p0.6_epoch17.pth,match
7,early,0.6,0,0.5,50,10,128,0.11871337890625,0.87530517578125,0.0975341796875,0.8848876953125,0.861328125,0.21063232421875,0.5236897274633123,0.1885940146809712,,,checkpoints_weighted/best_model_patch7_early_p0.6_epoch9.pth,match
