patch_size,regime,density,seed,threshold,steps,burn_in,board_size,init_density,final_pred_density,final_true_density,acc_self_first,acc_first,acc_last,f1_first,f1_last,avg_acc,avg_f1,prec_first,rec_first,prec_last,rec_last,first_zero_step,first_one_step,checkpoint,model_variant,temperature,adaptive,adaptive_gain,thr_min,thr_max,target_density
3,early,0.2,0,0.5,50,10,128,0.1708984375,1.0,0.1004638671875,0.79791259765625,0.79791259765625,0.1026611328125,0.561631139944393,0.18620613306764086,0.190931396484375,0.2442952860376095,0.44624447717231225,0.7575,0.1026611328125,1.0,,20.0,checkpoints_weighted/best_model_patch3_early_p0.2_epoch9.pth,match,1.0,False,0.0,0.1,0.9,0.1708984375
3,early,0.4,0,0.5,50,10,128,0.2242431640625,1.0,0.11358642578125,0.7318115234375,0.7318115234375,0.113525390625,0.5346324931158652,0.2039026529269897,0.19907958984375,0.2736466183177285,0.4375866851595007,0.6869896570495373,0.113525390625,1.0,,25.0,checkpoints_weighted/best_model_patch3_early_p0.4_epoch12.pth,match,1.0,False,0.0,0.1,0.9,0.2242431640625
3,early,0.6,0,0.5,50,10,128,0.11871337890625,1.0,0.0975341796875,0.86572265625,0.86572265625,0.0977783203125,0.5817490494296578,0.17813855220727232,0.20868408203125,0.22147770667595787,0.46153846153846156,0.7866323907455013,0.0977783203125,1.0,,28.0,checkpoints_weighted/best_model_patch3_early_p0.6_epoch15.pth,match,1.0,False,0.0,0.1,0.9,0.11871337890625
3,mid,0.2,0,0.5,50,60,128,0.1004638671875,1.0,0.0838623046875,0.8863525390625,0.8863525390625,0.08624267578125,0.589143865842895,0.1587908074394561,0.20620849609375,0.20344966758170913,0.4625779625779626,0.8110571081409478,0.08624267578125,1.0,,32.0,checkpoints_weighted/best_model_patch3_mid_p0.2_epoch21.pth,match,1.0,False,0.0,0.1,0.9,0.1004638671875
3,mid,0.4,0,0.5,50,60,128,0.11358642578125,1.0,0.07867431640625,0.88043212890625,0.88043212890625,0.0831298828125,0.5899099853464517,0.15349938014200384,0.23259033203125,0.22493276551158473,0.483196159122085,0.7571198280494358,0.0831298828125,1.0,,33.0,checkpoints_weighted/best_model_patch3_mid_p0.4_epoch17.pth,match,1.0,False,0.0,0.1,0.9,0.11358642578125
3,mid,0.6,0,0.5,50,60,128,0.0975341796875,1.0,0.07025146484375,0.8917236328125,0.8917236328125,0.0728759765625,0.592183908045977,0.13585163272272158,0.200201416015625,0.18397367102815004,0.4680232558139535,0.8060075093867334,0.0728759765625,1.0,,29.0,checkpoints_weighted/best_model_patch3_mid_p0.6_epoch18.pth,match,1.0,False,0.0,0.1,0.9,0.0975341796875
3,late,0.2,0,0.5,50,160,128,0.07720947265625,1.0,0.078369140625,0.914794921875,0.914794921875,0.07476806640625,0.5965317919075144,0.13913339769436084,0.260465087890625,0.1864078078244803,0.47015945330296127,0.8158102766798419,0.07476806640625,1.0,,44.0,checkpoints_weighted/best_model_patch3_late_p0.2_epoch6.pth,match,1.0,False,0.0,0.1,0.9,0.07720947265625
3,late,0.4,0,0.5,50,160,128,0.07098388671875,1.0,0.06744384765625,0.92523193359375,0.92523193359375,0.06756591796875,0.5984922976073419,0.12657938368303698,0.26366455078125,0.18502693739614898,0.4835805084745763,0.7850386930352536,0.06756591796875,1.0,,36.0,checkpoints_weighted/best_model_patch3_late_p0.4_epoch11.pth,match,1.0,False,0.0,0.1,0.9,0.07098388671875
3,late,0.6,0,0.5,50,160,128,0.0618896484375,1.0,0.05914306640625,0.92620849609375,0.92620849609375,0.0614013671875,0.5818056035973712,0.11569867740080506,0.2436328125,0.16150357044252214,0.44805540756526374,0.8293885601577909,0.0614013671875,1.0,,35.0,checkpoints_weighted/best_model_patch3_late_p0.6_epoch9.pth,match,1.0,False,0.0,0.1,0.9,0.0618896484375
5,early,0.2,0,0.5,50,10,128,0.1708984375,1.0,0.1004638671875,0.81005859375,0.81005859375,0.1026611328125,0.581157469717362,0.18620613306764086,0.20013916015625,0.24527312142812513,0.4663066954643629,0.7710714285714285,0.1026611328125,1.0,,27.0,checkpoints_weighted/best_model_patch5_early_p0.2_epoch17.pth,match,1.0,False,0.0,0.1,0.9,0.1708984375
5,early,0.4,0,0.5,50,10,128,0.2242431640625,1.0,0.11358642578125,0.73974609375,0.73974609375,0.113525390625,0.5558333333333334,0.2039026529269897,0.1987158203125,0.27118171259411045,0.45021937225784675,0.7261839956450735,0.113525390625,1.0,,26.0,checkpoints_weighted/best_model_patch5_early_p0.4_epoch13.pth,match,1.0,False,0.0,0.1,0.9,0.2242431640625
5,early,0.6,0,0.5,50,10,128,0.11871337890625,1.0,0.0975341796875,0.87469482421875,0.87469482421875,0.0977783203125,0.6069308826345012,0.17813855220727232,0.235601806640625,0.22980742529217568,0.48352654057352046,0.8149100257069408,0.0977783203125,1.0,,29.0,checkpoints_weighted/best_model_patch5_early_p0.6_epoch17.pth,match,1.0,False,0.0,0.1,0.9,0.11871337890625
5,mid,0.2,0,0.5,50,60,128,0.1004638671875,1.0,0.0838623046875,0.89337158203125,0.89337158203125,0.08624267578125,0.603405221339387,0.1587908074394561,0.221612548828125,0.20948437825287325,0.48169626676332006,0.807411907654921,0.08624267578125,1.0,,25.0,checkpoints_weighted/best_model_patch5_mid_p0.2_epoch18.pth,match,1.0,False,0.0,0.1,0.9,0.1004638671875
5,mid,0.4,0,0.5,50,60,128,0.11358642578125,1.0,0.07867431640625,0.8878173828125,0.8878173828125,0.0831298828125,0.6110876005078291,0.15349938014200384,0.252720947265625,0.23030364436488643,0.5040139616055846,0.7759269210102095,0.0831298828125,1.0,,34.0,checkpoints_weighted/best_model_patch5_mid_p0.4_epoch14.pth,match,1.0,False,0.0,0.1,0.9,0.11358642578125
